Type	AgentConfig	TestInstanzID	MaxRounds	VorschlaegeProRunde	ErzwungeneAkzeptanz	AnzahlPlanningObjects	ClientID	TargetValue
remote	6421a3af-f6b1-4877-8770-0c046f4d6484	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	9898fac6-baf8-47ee-9457-0c154f6874fe	30,2670832875
remote	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	421842d4-b71f-49cb-8f9e-84019b019813	6,11196
remote	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	421842d4-b71f-49cb-8f9e-84019b019813	6,14089901960784
remote	6421a3af-f6b1-4877-8770-0c046f4d6484	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	9898fac6-baf8-47ee-9457-0c154f6874fe	30,2486129042892
remote	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	421842d4-b71f-49cb-8f9e-84019b019813	6,13354
remote	6421a3af-f6b1-4877-8770-0c046f4d6484	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	9898fac6-baf8-47ee-9457-0c154f6874fe	30,2079639875
remote	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	421842d4-b71f-49cb-8f9e-84019b019813	6
remote	6421a3af-f6b1-4877-8770-0c046f4d6484	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	9898fac6-baf8-47ee-9457-0c154f6874fe	30,266565325
remote	6421a3af-f6b1-4877-8770-0c046f4d6484	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	9898fac6-baf8-47ee-9457-0c154f6874fe	30,2147640875
remote	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	421842d4-b71f-49cb-8f9e-84019b019813	6
remote	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	421842d4-b71f-49cb-8f9e-84019b019813	6,0403468627451
remote	6421a3af-f6b1-4877-8770-0c046f4d6484	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	9898fac6-baf8-47ee-9457-0c154f6874fe	30,0794080824755
remote	6421a3af-f6b1-4877-8770-0c046f4d6484	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	9898fac6-baf8-47ee-9457-0c154f6874fe	30,1530691375
remote	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	421842d4-b71f-49cb-8f9e-84019b019813	6,04819
remote	6421a3af-f6b1-4877-8770-0c046f4d6484	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	9898fac6-baf8-47ee-9457-0c154f6874fe	30,24124724375
remote	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	421842d4-b71f-49cb-8f9e-84019b019813	6,01766
remote	6421a3af-f6b1-4877-8770-0c046f4d6484	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	9898fac6-baf8-47ee-9457-0c154f6874fe	30,21312336875
remote	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	421842d4-b71f-49cb-8f9e-84019b019813	6,01262
remote	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	421842d4-b71f-49cb-8f9e-84019b019813	6
remote	6421a3af-f6b1-4877-8770-0c046f4d6484	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	9898fac6-baf8-47ee-9457-0c154f6874fe	30,29369390625
remote	6421a3af-f6b1-4877-8770-0c046f4d6484	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	9898fac6-baf8-47ee-9457-0c154f6874fe	29,8071032104167
remote	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	421842d4-b71f-49cb-8f9e-84019b019813	5,93333333333333
remote	6421a3af-f6b1-4877-8770-0c046f4d6484	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	9898fac6-baf8-47ee-9457-0c154f6874fe	30,4270686375
remote	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	421842d4-b71f-49cb-8f9e-84019b019813	6
local	6421a3af-f6b1-4877-8770-0c046f4d6484	7311644a-a47e-4b00-abf3-6047ca61576e	1000	100	1	6	db2ebd12-bd93-4ba8-bc82-2a9fc84f3afe	30,6788651625
local	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576e	1000	100	1	6	d18650f9-5b1f-4d3d-b4ab-24b430b9c3a8	6,28876
local	6421a3af-f6b1-4877-8770-0c046f4d6484	7311644a-a47e-4b00-abf3-6047ca61576e	1000	100	1	6	db2ebd12-bd93-4ba8-bc82-2a9fc84f3afe	30,68323666875
local	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576e	1000	100	1	6	d18650f9-5b1f-4d3d-b4ab-24b430b9c3a8	6,39402
local	6421a3af-f6b1-4877-8770-0c046f4d6484	7311644a-a47e-4b00-abf3-6047ca61576e	1000	100	1	6	db2ebd12-bd93-4ba8-bc82-2a9fc84f3afe	30,74355758125
local	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576e	1000	100	1	6	d18650f9-5b1f-4d3d-b4ab-24b430b9c3a8	6,45101
local	6421a3af-f6b1-4877-8770-0c046f4d6484	7311644a-a47e-4b00-abf3-6047ca61576e	1000	100	1	6	db2ebd12-bd93-4ba8-bc82-2a9fc84f3afe	30,44355966875
local	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576e	1000	100	1	6	d18650f9-5b1f-4d3d-b4ab-24b430b9c3a8	6,24793
